name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,6/17/2022,32.1,20.6,25.9,31.9,20.6,25.9,16.7,60.4,0.23,100,4.17,rain,0.0,0.0,47.3,20.0,253.7,1006.6,54.0,15.2,284.8,24.5,10,75.0,2022-06-17T05:24:28,2022-06-17T20:29:41,0.61,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,6/21/2022,25.5,17.4,21.0,25.5,17.4,21.0,10.9,54.7,1.277,100,16.67,rain,0.0,0.0,22.3,11.8,52.0,1019.5,47.8,14.4,171.1,14.9,7,10.0,2022-06-21T05:25:06,2022-06-21T20:30:43,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,6/22/2022,19.4,17.2,18.4,19.4,17.2,18.4,15.4,82.8,1.268,100,16.67,rain,0.0,0.0,37.1,24.1,128.8,1017.0,100.0,13.4,53.3,4.6,2,10.0,2022-06-22T05:25:20,2022-06-22T20:30:54,0.78,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,6/23/2022,21.7,16.1,19.3,21.7,16.1,19.3,15.0,77.0,1.808,100,8.33,rain,0.0,0.0,31.7,16.8,93.0,1015.0,86.8,14.4,172.0,14.9,7,10.0,2022-06-23T05:25:36,2022-06-23T20:31:03,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,6/27/2022,24.3,21.7,23.1,24.3,21.7,23.1,18.6,76.3,8.657,100,29.17,rain,0.0,0.0,42.8,20.5,225.6,1014.3,75.1,13.5,78.2,6.7,4,30.0,2022-06-27T05:26:56,2022-06-27T20:31:20,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York City,6/29/2022,28.4,18.9,23.7,27.9,18.9,23.6,14.3,57.2,0.69,100,12.5,rain,0.0,0.0,77.8,23.5,197.1,1022.8,11.3,15.8,312.5,27.0,10,30.0,2022-06-29T05:27:46,2022-06-29T20:31:16,0.02,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,6/30/2022,31.6,21.1,25.7,30.8,21.1,25.6,15.7,55.9,1.38,100,25.0,rain,0.0,0.0,79.6,22.1,246.0,1021.6,10.9,15.9,326.0,28.1,10,10.0,2022-06-30T05:28:14,2022-06-30T20:31:11,0.05,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,7/1/2022,33.3,22.3,27.1,35.5,22.3,28.3,19.4,64.4,0.0,0,0.0,rain,0.0,0.0,51.5,23.4,245.0,1017.0,12.5,15.6,298.1,25.8,9,75.0,2022-07-01T05:28:43,2022-07-01T20:31:04,0.09,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,7/2/2022,31.1,24.3,27.3,33.3,24.3,28.4,20.4,66.9,0.938,100,4.17,rain,0.0,0.0,77.8,16.2,254.7,1012.9,36.3,16.0,199.7,17.1,8,75.0,2022-07-02T05:29:13,2022-07-02T20:30:55,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,7/3/2022,31.0,24.3,26.8,30.1,24.3,26.7,15.7,52.4,0.0,0,0.0,rain,0.0,0.0,29.5,21.5,46.3,1015.9,36.5,16.0,277.4,23.9,10,10.0,2022-07-03T05:29:45,2022-07-03T20:30:44,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,7/4/2022,29.4,19.9,25.0,28.6,19.9,24.7,11.1,42.2,0.469,100,4.17,rain,0.0,0.0,51.7,14.0,282.4,1020.3,0.8,15.7,328.2,28.2,10,10.0,2022-07-04T05:30:18,2022-07-04T20:30:31,0.19,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York City,7/5/2022,30.0,21.8,24.6,30.0,21.8,24.7,16.5,61.6,0.83,100,20.83,rain,0.0,0.0,72.0,20.7,222.7,1016.3,30.8,15.7,202.8,17.4,9,10.0,2022-07-05T05:30:53,2022-07-05T20:30:16,0.22,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
New York City,7/7/2022,27.8,21.7,24.6,28.3,21.7,24.7,17.2,64.0,0.46,100,8.33,rain,0.0,0.0,62.5,20.0,79.6,1015.6,52.5,15.9,219.3,19.0,8,10.0,2022-07-07T05:32:07,2022-07-07T20:29:40,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
