Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
9452703,25 Hyatt,12/31/2021,5-00008-0099,5110428,19-25 Hyatt St,Staten Island,10301,5,50,96.7,104.6,45.9,3954797.3,4277461.3,15.7,195.4,203.7,92.8,7989582.1,8328379.3,2192597.1,642613.4,642613.4,642613.5,2192597.3
20566009,317 West 87th Street,12/31/2021,1-01249-0022,1033968,317 West 87th Street,New York,10024,48,50,86,90,85.1,3806698.9,3982425.3,4.5,115.6,118.6,114.4,5114937.5,5249650.5,708203.3,207562.5,200519.1,207562.5,708203.2
2790612,The New Yorker,12/31/2021,1-01512-7502,1047653,"1474 Third Avenue, 1474-1478 Third Avenue",New York,10028,53,50,83.8,82.8,86,5594118,5529110.9,6.7,129.8,127.1,133.1,8663361.9,8481421.4,1594021.7,467181,448141.8,467181,1594021.6
2790741,145 East 76th Street,12/31/2021,1-01411-7501,1043173,145 East 76th Street,New York,10021,34,50,75.3,77.7,67.9,4963361.5,5124812.1,10.9,146.9,146.9,132.5,9687303.2,9688166.1,2557584.9,749585.2,721338.6,749585.3,2557585
4401430,"451 Broome Street, New York",12/31/2021,1-00474-0029,1007047,"451 Broome Street, New York",Manhattan,10013,81,50,70.4,77.4,90.9,5616435.6,6171893.4,4.6,99.1,106.2,128,7907556.1,8468568.4,1247688.6,365676.6,365676.6,365676.6,1247688.6
6896695,935 Kelly Street,12/31/2021,2-02703-0018,2005453,935 Kelly Street,Bronx,10459,89,50,43.4,42.6,61,1288762.6,1265829.4,9.4,103.6,100.8,145.7,3076202.5,2993483.9,984572.4,288561.6,278741.1,288561.7,984572.5
9297463,(6022) - Rego Park Owners (Campus),12/31/2021,"4-01910-7501, 4-01911-7501, 4-01912-7501, 4-01913-7501","4047252, 4047258, 4433107, 4047305",94-30 59 AVENUE,Queens,11373,88,50,71.5,77.3,99,50046435.3,54106541.9,1.8,86.2,91.9,119.5,60371144.9,64357579,4469935.9,1310063.1,1263726.2,1310063,4469935
10855948,(6022)-(NG) 9411 60 AVE,12/31/2021,4-01910-7501,4047252,9411 60 AVE,Queens,11373,100,50,28.3,31,101.5,10429700.1,11438139.5,Not Available,29.7,32.6,106.5,10951185.1,12010046.4,Not Available,Not Available,Not Available,Not Available,Not Available
10855954,(6022)-(NG) 9431 59 AVE,12/31/2021,4-01910-7501,4047252,9431 59 AVE,Queens,11373,100,50,0.9,0.9,101.5,346900,346900,Not Available,1,1,106.5,364245,364245,Not Available,Not Available,Not Available,Not Available,Not Available
10856040,(6022)-(NG) 5710 Junction Blvd,12/31/2021,4-0910-7501,4047252,5710 Junction Blvd,Queens,11373,100,50,16.2,17.8,101.5,5992499.9,6579709.1,Not Available,17.1,18.7,106.5,6292124.9,6908694.6,Not Available,Not Available,Not Available,Not Available,Not Available
10856046,(6022)-(NG) 9431 60 AVE,12/31/2021,4-01910-7501,4047252,9431 60 AVE,Queens,11373,100,50,1.5,1.5,101.5,554500,554500,Not Available,1.6,1.6,106.5,582225,582225,Not Available,Not Available,Not Available,Not Available,Not Available
10856047,(6022)-(NG) 9430 60 AVE,12/31/2021,4-01910-7501,4047252,9430 60 AVE,Queens,11373,100,50,15.2,16.4,101.5,5590399.7,6052616.3,Not Available,15.9,17.2,106.5,5869919.7,6355247.1,Not Available,Not Available,Not Available,Not Available,Not Available
10856048,(6022)-(NG) 9430 58 AVE,12/31/2021,4-01910-7501,4047252,9430 58 AVE,Queens,11373,100,50,30.8,34,101.5,11373299.9,12550875.8,Not Available,32.4,35.7,106.5,11941964.9,13178419.6,Not Available,Not Available,Not Available,Not Available,Not Available
