Property Id,Property Name,Year Ending,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu)
21009579,120 West 116th Street,12/31/2021,1018250045,1055052,120 West 116th Street,Manhattan,10026,5,50,138.8,138.5,92.8,6047350.7,6036977.7,7.6,191.7,191.1,128.2,8355002,8325957.6,1145876.4,335837.1,332797,335837.2,1145876.5
20478785,Aqua 3065 Grand Concourse LLC,12/31/2021,2033100040,2017311,3065 Grand Concourse,Bronx,10468,Not Available,50,87,86.5,91.7,5676567.4,5643007.2,3.3,112.1,110.7,118.1,7313049.3,7219080.7,772944.9,226537.2,216701.2,226537.2,772944.9
4940491,ZARA - 87-50 167 Street,12/31/2021,4-09838-0062,4210455,87-50 167 Street,Jamaica,11432,4,50,118,117.1,76.8,14619516.5,14511902,9.6,182.1,180.2,118.6,22568395.9,22324071.1,4124516.3,1208826.4,1186831.9,1208827,4124517.7
6292405,ZARA - 51-25 Van Kleeck LLC,12/31/2021,4-02474-0021,4057228,51-25 Van Kleeck Street,Queens,11373,20,50,99.4,106.2,80.6,6458208.9,6906217.6,4.3,131.3,137.5,106.5,8535859.4,8936283.9,1002708.6,293877,282156.3,293877.1,1002708.7
6292397,ZARA - 195-24 LLC,12/31/2021,4-10823-0031,4231537,195-24/30 Jamaica Ave,Queens,11423,100,50,23.4,23.4,71.9,650891.4,650891.4,6.8,65.4,65.4,201.3,1822495.9,1822495.9,650891.4,190765.3,190765.3,190765.4,650891.5
6292398,ZARA - Woodhull Park 191 - I LLC,12/31/2021,4-10820-0083,4231505,191-11 Woodhull Ave,Queens,11423,64,50,73.7,73.7,81.3,2531155.7,2532052.2,2.9,94.6,94.7,104.3,3248260.6,3250771,337455.5,98902.5,99165.3,98902.6,337455.5
20629697,58 Gerry Street,12/31/2021,3022697501,3426439,58 GERRY STREET,BROOKLYN,11206,100,50,21.6,21.6,47.6,1495737.9,1495737.9,6.3,60.5,60.5,133.2,4188066.1,4188066.1,1495737.9,438375.6,438375.6,438375.7,1495737.9
4940496,ZARA - 187-35 Hillside Avenue,12/31/2021,4-09960-0005,4213409,187-35 Hillside Avenue,Jamaica,11432,33,50,95.6,99.2,85.8,6111986.6,6343464.1,6,137.4,140.2,123.3,8782162.5,8965834.5,1351186.6,396010.1,386065.5,396010.1,1351186.5
6821273,KKM Realty,12/31/2021,3045020027,3098820,1001 Stanley Ave,Brooklyn,11208,Not Available,50,39,42.3,64.7,1398732.4,1516080.4,2.9,58.4,61.8,96.9,2093300.8,2216516.1,356932.4,104610.9,104610.9,104610.9,356932.4
2709798,"ZEISSER REATLY, LLC",12/31/2021,2032190232,2101734,153 FATHER ZEISER PLACE,BRONX,10468,63,50,89.2,94.2,97.9,12304915.6,12997167.7,4.3,120.4,124.5,132.1,16611044.6,17174988.1,2109076.1,618134.8,590849.4,618134.8,2109075.9
6197955,EKTO REALTY CORP,12/31/2021,2-03172-0032,2013890,2315 CRESTON AVE,BRONX,10468,56,50,116,122.9,121,4564043.3,4834424.2,4.8,151.6,157.7,158.2,5964645.3,6203979.8,669942.8,196349,188885.3,196349,669942.8
6197963,PEMTO REALTY  CORP,12/31/2021,2-03209-0065,2014566,55 EVELYN PLACE,BRONX,10468,39,50,125.7,133.5,117.2,5416730.9,5753958.4,4.1,157.8,164.8,147.3,6802738.4,7101822.2,637240.6,186764.5,177552.5,186764.5,637240.5
6198005,1613 REALTY LTD,12/31/2021,2-02745-0046,2006069,1135 HOE AVENUE,BRONX,10459,89,50,90.4,89.9,126.7,2281999.6,2269436.3,3.6,117.1,115.7,164.2,2958138.2,2922961.2,321165,94128.1,90446,94128.1,321165
12371990,West Kingsbridge LLC,12/31/2021,2-03248-0143,2015290,135-145 West Kingsbridge Road,Bronx,10468,27,50,88.5,87.5,75.8,6987675.4,6915106.7,8.4,144.7,142.2,124.1,11433834.6,11230642.2,2341014.6,686112,664843.4,686112.1,2341014.5
4940490,ZARA - 166-33 89 Avenue,12/31/2021,4-09817-0030,4210075,166-33 89 Avenue,Jamaica,11432,45,50,94.4,98.7,91.6,9381167.8,9804546.3,5.8,134.2,138.1,130.2,13333019.4,13721969.7,1990167.5,583284.7,573973.5,583284.7,1990167.4
6292401,ZARA - 164 -03 LLC,12/31/2021,4-09814-0001,4210050,164-03 89th Avenue,Queens,11432,20,50,89.3,93.6,72.5,3830939.2,4014932.1,5.8,128.3,132.8,104.2,5502879.5,5696072.1,845939.1,247930.5,247930.5,247930.6,845939.2
2660104,AKAM - 201 East 62nd Street,12/31/2021,1-01417-0001,1043826,201 East 62nd Street,New York,10065,67,50,56.9,59.7,64.1,9535893,10007182.1,5.9,101.3,104.2,114.2,16975831.3,17460322,3450687.9,1011338.6,996199.7,1011339,3450688.7
2669492,AKAM - 207 East 57th Street,12/31/2021,1-01331-7503,1087269,207 East 57th Street,New York,10022,11,50,85.9,89.5,63.5,9889155,10307228.5,11.9,167.1,171.8,123.5,19239594.4,19780802.8,4637098.2,1359055.6,1368636.1,1359056,4637099.1
2669611,AKAM - 230 Ashland Place,12/31/2021,3-02095-7502,3393804,230 Ashland Place,Brooklyn,11217,1,50,207.4,218,94.8,26057949,27392077.5,8.5,270.2,279.6,123.5,33953707,35129310.6,3767348.9,1104146.7,1066425.8,1104147,3767349.6
2672547,AKAM - 3935 Blackstone Ave,12/31/2021,2-05908-0210,2085798;2112675,3935 Blackstone Avenue,Bronx,10471,62,50,74.7,80.5,81.2,11477895.3,12357502.1,3.7,101.6,106.5,110.4,15601934.9,16359603.3,2028654.2,594564.5,566777,594564.5,2028654.1
2673458,AKAM - 305 East 40th Street,12/31/2021,1-01333-0001,1038645,305 East 40th Street,New York,10016,43,50,91.5,91.1,87.8,34110714.3,33954133.4,7.4,141.2,140.1,135.5,52623593.4,52185167,9604196.2,2814828.6,2768937.3,2814829,9604196.5
2679801,AKAM - 505 Court Street,12/31/2021,3-00476-7501,3397571;3008141,505 Court Street,Brooklyn,11231,40,50,93.7,102.4,88.2,13943287.9,15243646.6,5.8,134.3,142.2,126.4,19985981.1,21160514,3054587.9,895248.4,863286.6,895248.5,3054587.9
2704614,AKAM - 111 Fourth Avenue,12/31/2021,1-00556-0044,1008977,111 Fourth Avenue,New York,10003,31,50,85,86.7,75.3,14451255.4,14737780.8,7.4,133.4,135.1,118.2,22672567.3,22973419,4284999.5,1255861.4,1255861.4,1255862,4285001.1
2750488,AKAM - 365 Bridge Street,12/31/2021,3-02058-7501,3392184,365 Bridge Street,Brooklyn,11201,17,50,93.4,96.8,72.7,34259637.8,35516106.7,10.5,161.9,164.2,126,59385938.4,60245983.2,13379039.2,3921171.6,3844258.7,3921172,13379038.9
3111749,AKAM - 300 East 23rd Street,12/31/2021,1-00928-7504,1088559,300 East 23rd Street,New York,10010,2,50,102.8,103,61,11674633,11705208.6,15.7,204.4,202,121.2,23219076.8,22951296.5,6263264.1,1835657.5,1785434,1835658,6263265.1
3113787,AKAM - 200 West 79th Street,12/31/2021,1-01170-7501,1030909,200 West 79th Street,New York,10024,64,50,57.8,61.5,63.8,20639506,21948655,4.8,90.1,93,99.4,32166844,33203543.5,5997350.1,1757722.6,1701131.2,1757723,5997350.9
3119250,AKAM - 1212 Fifth Avenue,12/31/2021,1-01607-7502,1051490,1212 Fifth Avenue,New York,10029,98,50,29.9,30.7,53.3,3378562.2,3472517.1,5.9,66.4,67.3,118.4,7510304.4,7608957,2264465.2,663676.7,663676.7,663676.8,2264465.2
3513340,AKAM - 137-139 West 25th St,12/31/2021,1-00801-7501,1068241,137-139 West 25th Street,New York,10001,81,50,52.4,55.2,84.7,4320256,4548741.1,8.8,107.9,109.8,174.2,8890908.8,9051192.9,2526231.9,740396.1,728855.2,740396.2,2526231.8
4038858,AKAM - 2000 Broadway,12/31/2021,1-01140-7502,1070362,2000 Broadway,New York,10023,44,50,55.6,57.2,53.7,15977018.8,16446408.9,9.9,117.6,118.5,113.7,33826967.8,34069530.8,9869630.8,2892623,2854715.2,2892623,9869629.7
4038877,AKAM - 302 West 86th Street,12/31/2021,1-01247-0037,1033921,302 West 86th Street,New York,10024,85,50,49.8,53.6,65.9,4436662.7,4776927.4,3.4,72.7,76.3,96.2,6480690.4,6799983,1041254,305174.1,298812.4,305174.1,1041254
4038982,AKAM - 32 West 18th Street,12/31/2021,1-00819-7503,1087450,32 West 18th Street,New York,10011,40,50,64.1,66.8,60.3,5175509.7,5394394.4,10.7,131.5,134.3,123.7,10612545.7,10842374.6,2959006,867234.9,867234.9,867235,2959005.8
4401485,AKAM - 1 West 67th Street,12/31/2021,1-01120-0023,1028242,1 West 67th Street,New York,10023,42,50,81.2,87.2,77.1,17736357.4,19032340,4.7,114.1,119.8,108.4,24917257.1,26157115.9,3596618.2,1054108.4,1033856.7,1054109,3596619.9
4945408,AKAM - 211 West 61st Street,12/31/2021,1-01154-7502,1030329,211 West 61st Street,New York,10023,12,50,124.7,129.4,80.6,14639079,15184607.6,22.7,266.2,271.1,171.9,31242935.1,31815740.1,9069658.4,2658164.5,2658164.5,2658165,9069659
4945431,AKAM - 110-11 Queens Boulevard,12/31/2021,4-02237-0001,4052585,110-11 Queens Boulevard,Queens,11375,8,50,122.9,Not Available,86.1,64498680.3,Not Available,5.3,160.9,Not Available,112.8,84474412.3,Not Available,9571884.6,2805358.6,2755942.9,2805359,9571884.9
4945508,AKAM - TV3 2915 West 5th Street,12/31/2021,3-07274-0060,3196586,2915 West 5th Street,Brooklyn,11224,100,50,26.8,25.7,63,13187665.5,12649625,4.2,55,51.9,129.2,27056266.6,25549753.3,7548124.5,2212228.5,2054537.9,2212229,7548125.3
4945511,AKAM - TV3 440 Neptune Avenue,12/31/2021,3-07274-0015,3196581,440 Neptune Avenue,Brooklyn,11224,100,50,31.4,30.6,68,19605196,19113334.7,3.7,56.2,54,121.8,35110099.3,33732887.9,8299796.3,2432530.9,2288374.6,2432531,8299795.8
4945513,AKAM - TV3 460 Neptune Avenue,12/31/2021,3-07274-0001,3196580,460 Neptune Avenue,Brooklyn,11224,2,50,165.2,182.6,101.6,103246364.7,114099859.9,3.9,198.1,215,121.8,123788504,134304191.7,8788469.2,2575752.7,2428292.9,2575753,8788469.2
4945589,AKAM - WVH 141 Barrow Street,12/31/2021,1-00603-0001,1083158;1083159;1083160;1083161;1083162;1083163;1083164;1083165;1083166;1083167;1083168;1083169;1083170;1083171;1083172;1083173;1083174;1083175,141 Barrow Street,New York,10014,63,50,37.8,40,41.5,8162135.3,8629709.3,11.7,105.9,111.9,116.2,22853978.9,24163185.9,8162135.3,2392184.7,2529222.8,2392185,8162135.2
4945597,AKAM - WVH 726 Washington Street,12/31/2021,1-00638-0019,1083551;1083552;1083553;1083554;1083555;1083556;1083557;1083558;1083559;1083560,726 Washington Street,New York,10014,73,50,35.1,35.1,41.4,4153018.7,4153018.7,10.3,98.3,98.3,115.8,11628452.2,11628452.2,4153018.7,1217180,1217180,1217180,4153018.2
4945652,AKAM - 140 West End Avenue,12/31/2021,1-01158-7504,1070711,140 West End Avenue,New York,10023,74,50,55.1,57.4,65.8,37532086.2,39154767,5.6,97.1,99.1,116,66195095.5,67519370.3,13319844.8,3903822.7,3788591.1,3903823,13319844.1
4945653,AKAM - 150 West End Avenue,12/31/2021,1-01158-7503,1070703,150 West End Avenue,New York,10023,68,50,60.2,62.7,68.3,30881726.5,32174031.3,5.7,104,105.9,118,53379189.8,54353437.2,10260916.5,3007302.2,2900775,3007303,10260917.8
4945655,AKAM - 180 West End Avenue,12/31/2021,1-01158-7502,1070696,180 West End Avenue,New York,10023,75,50,65.1,68.3,78.4,33926968,35611737.8,4.2,98.9,101.3,119.1,51518580.4,52788044.8,7814282.9,2290235,2167980.3,2290235,7814281.8
4945656,AKAM - 205 West End Avenue,12/31/2021,1-01179-7503,1070766,205 West End Avenue,New York,10023,65,50,78.3,83.2,86.8,50899775.8,54116551.4,2.8,106.9,112,118.7,69549916.5,72851571.2,6630214.1,1943204.4,1838914.2,1943205,6630215.5
4945706,AKAM - 120 Riverside Boulevard,12/31/2021,1-01171-7504,1086247,120 Riverside Boulevard,New York,10069,24,50,82.6,84.2,69.3,31075739.1,31704155.7,7.4,132.1,132.6,110.8,49712968.4,49894028.9,9761967.1,2861068.6,2780884.8,2861069,9761967.4
4945784,AKAM - 115 Central Park West,12/31/2021,1-01124-0027,1028618,115 Central Park West,New York,10023,60,50,68.6,71.5,73.9,43645218.3,45490939,4.8,101.9,103.7,109.7,64828346.1,65991591.1,10870255.4,3185889.2,3056135.1,3185890,10870256.7
4945797,AKAM - Hilltop Village 1,12/31/2021,4-10535-0050,4434609;4434608,87-56 Francis Lewis Boulevard / 204-15 Foothill Avenue,Queens,11427,43,50,78.5,82.7,75.3,16934415.5,17851490.6,4.7,111,114.9,106.5,23958663.3,24798816,3530015.5,1034588.2,1014026.2,1034588,3530014.3
4945798,AKAM - Hilltop Village 2,12/31/2021,4-10535-0010,4434606;4434607,87-15 204th Street / 87-40 Francis Lewis Boulevard,Queens,11427,48,50,80.1,84.4,79.4,17284057.3,18214517.6,4.3,110.2,114.5,109.3,23785635.4,24704862.2,3221357.2,944125.7,934452.9,944125.8,3221357.2
4945801,AKAM - Hilltop Village 3,12/31/2021,4-10538-0070,4434613;4434614,87-50 204th Street / 202-35 Foothill Avenue,Quuens,11427,39,50,76.9,80.6,72,16592298.6,17396846.5,5.3,113,116.3,105.9,24401085.7,25112546.6,3988098.3,1168844.6,1146517.7,1168845,3988099.1
4945802,AKAM - Hilltop Village 4,12/31/2021,4-10538-0010,4434611;4434610;4434612,87-10 204th Street / 87-30 204th Street / 86-70 Francis Lewis Boulevard,Queens,11474,58,50,70,74.1,74,22657814.2,23985323.4,4.5,100.8,104.7,106.5,32630853.9,33892705.5,5051513.7,1480513.8,1458401.4,1480514,5051513.8
4945813,200 East 32nd Street-The Future Condominium,12/31/2021,1-00912-7502,1077352,200 East 32nd Street,New York,10016,86,50,71.9,75.2,104.8,15353532.9,16061695.6,14.3,158.2,164.4,230.5,33777302.8,35105115.5,10089196.2,2956973.9,3054820.5,2956974,10089195.3
4945816,AKAM - 201 East 21st Street,12/31/2021,1-00902-0001,1019633,201 East 21st Street,New York,10010,60,50,60.6,62.4,64.9,17603951.9,18123953.5,6.4,103.7,104,111,30111379,30205373.2,6644131.2,1947283.2,1871582.8,1947283,6644129.6
4945822,AKAM - 433 East 56th Street,12/31/2021,1-01368-0013,1040468,433 East 56th Street,New York,10022,60,50,35,36.5,37.4,3191925,3331810,10.5,96.6,100.9,103.2,8814501.8,9206179.7,3121703.2,914918.8,955916.7,914918.9,3121703.3
4945824,AKAM - 333 East 69th Street,12/31/2021,1-01444-0015,1044820,333 East 69th Street,New York,10021,82,50,53.9,53.6,68.7,9364605.6,9304332.2,5.4,89.4,88.4,113.8,15520904.4,15352138.9,3250324.9,952615.6,934950.5,952615.7,3250324.8
4945825,AKAM - 315 West 70th Street,12/31/2021,1-01182-0020,1030930,315 West 70th Street,New York,10023,52,50,61.6,63.9,62.5,15957194.2,16548107.3,6.6,110.8,112.3,112.4,28703894.7,29070822.2,6003471.1,1759516.5,1696390,1759517,6003472
4946094,AKAM - 3 Hanover Square,12/31/2021,1-00028-0001,1000831,3 Hanover Square,New York,10004,14,50,100.7,107.6,76.1,24086824.6,25718532.1,6.7,147,153.1,111.1,35144283.6,36598489.4,5630353,1650161.9,1606771,1650162,5630352.7
4946131,AKAM - 130 Water Street,12/31/2021,1-00039-7501,1000884,130 Water Street,New York,10005,6,50,106.4,112.3,71.6,10394913.4,10973835.6,13.9,193.4,198.9,130.1,18888933.7,19429012.6,4667131.9,1367857.9,1360550.1,1367858,4667131.5
4946143,AKAM - 122 East 82nd Street,12/31/2021,1-01510-0060,1047590,122 East 82nd Street,New York,10028,65,50,69.1,74.4,76.6,3682144.3,3961461.8,3.8,95.1,100.6,105.4,5068827.7,5362111.1,687186.4,201402.8,201402.8,201402.8,687186.4
4946149,AKAM - 1270 Fifth Avenue,12/31/2021,1-01614-0001,1051578,1270 Fifth Avenue,New York,10029,56,50,83.5,90.8,87,17699714,19243975.4,4.7,115.9,123.5,120.7,24570194.8,26191669.2,3420282.9,1002427.5,1002427.5,1002428,3420284.3
4946172,AKAM - 200 East 36th Street,12/31/2021,1-00916-0061,1020201,200 East 36th Street,New York,10016,77,50,60.9,65.2,75,7606451.9,8134308.4,5,100.9,105.3,124.2,12589635.9,13146858.3,2178524.9,638489.1,624208.8,638489.1,2178524.8
4946232,AKAM - 20 East 35th Street,12/31/2021,1-00864-7501,1017114,20 East 35th Street,New York,10016,52,50,71.3,76.6,72.4,15227018.9,16357606.9,5.2,107.2,111.5,108.9,22898810.8,23808452.8,3948823.4,1157333.8,1110863.3,1157334,3948823.6
4946243,AKAM - 425 Fifth Avenue,12/31/2021,1-00868-7503,1085975,425 Fifth Avenue,New York,10016,25,50,78.1,Not Available,64.2,16675802.1,Not Available,9.5,138.9,Not Available,114.2,29633201.1,Not Available,6927776.5,2030414.9,2030414.9,2030415,6927776
4946253,AKAM - 401 East 65th Street,12/31/2021,1-01460-0001,1045391,401 East 65th Street,New York,10065,78,50,73,72.6,93.7,11001135.6,10943371.6,10,136.9,135.8,175.6,20622139.4,20460400.2,5183398.3,1519166.9,1502237.3,1519167,5183397.8
4946266,AKAM - 400 East 85th Street,12/31/2021,1-01564-0047,1050520,400 East 85th Street,New York,10028,73,50,59,58.7,70.1,12866797.9,12795954.7,5,92.2,91.3,109.4,20085281.3,19886920.1,3757224.8,1101179.5,1080416.5,1101180,3757226.2
4946278,AKAM - 2250 Broadway,12/31/2021,1-01228-7501,1070992,2250 Broadway,New York,10024,28,50,77.8,81.5,66,11657203.4,12212753.1,10.9,146.9,150.8,124.6,22016601,22599928.2,5586592.8,1637336.5,1637336.5,1637337,5586593.8
4946285,AKAM - 245 East 72nd Street,12/31/2021,1-01427-0018,1043972,245 East 72nd Street,New York,10021,87,50,55.2,59.1,75.1,7441575.9,7961558.8,3.6,78.6,81.8,106.9,10593284.2,11020402.6,1713012,502055,485998.6,502055.1,1713012
4946287,AKAM - 300 East 74th Street,12/31/2021,1-01448-0003,1089033,300 East 74th Street,New York,10021,60,50,64.8,Not Available,69.5,23302309.4,Not Available,5.1,99.6,Not Available,106.7,35785317.9,Not Available,6467367.4,1895476.7,1822712.7,1895477,6467367.5
4949650,AKAM - 60 Collister Street,12/31/2021,1-00215-7505,1088445,157 Hudson Street,New York,10013,Not Available,50,75.9,79.2,65.5,4874455.5,5089984.3,9.4,136.8,139.4,118.1,8787501.6,8951194.4,2096756.2,614524,604037.9,614524.1,2096756.2
4949662,AKAM - 211 Thompson Street,12/31/2021,1-00539-0031,1008680,211 Thompson Street,New York,10012,85,50,63.9,66,85.2,4159572.8,4299325,5.6,101.3,102.5,135,6595450.5,6671861.7,1273085.2,373119.9,361341.5,373119.9,1273085.1
4949677,AKAM - 7-11 East 13th Street,12/31/2021,1-00571-7501,1009403;1083135,7-11 East 13th Street,New York,10003,61,50,67.8,73.8,74.7,5374280,5844203.4,6.3,108.8,115,119.9,8620407.9,9113827.5,1701379.4,498645.7,498645.7,498645.8,1701379.5
4949691,AKAM - 25 West 13th Street,12/31/2021,1-00577-0024,1083516,25 West 13th Street,New York,10011,96,50,49.6,Not Available,82,8577844.5,Not Available,3.5,73.6,Not Available,121.8,12738582.1,Not Available,2138797.9,626845.7,611400.4,626845.8,2138797.9
4950979,AKAM - 520 West 23rd Street,12/31/2021,1-00694-0042,1012335,520 West 23rd Street,New York,10011,79,50,51.7,54.3,64.1,5271810.5,5537612.7,6.9,96.7,98.2,119.9,9863155.4,10020819,2473002.5,724795.5,704459.1,724795.6,2473002.6
4950993,AKAM - 420 West 25th Street,12/31/2021,1-00722-7501,1087713,420 West 25th Street,New York,10001,12,50,71.4,73.3,53.6,6750153.1,6935531.2,11.3,142.1,144.2,106.8,13446052.5,13640699.5,3633366.7,1064878.7,1064878.7,1064879,3633367.1
4951007,AKAM - 263 9th Avenue,12/31/2021,1-00723-7501,1012826,263 9th Avenue,New York,10001,18,50,65,66.5,51.8,6232188.5,6370166,9.2,122.9,124.4,97.9,11781253.6,11926130,2992831.8,877148.7,877148.7,877148.8,2992831.7
4951878,AKAM - 201 West 17th Street,12/31/2021,1-00767-7503,1086067,201 West 27th Street,New York,10011,54,50,64.9,64.9,67.4,4619589.4,4619589.4,9.9,126.9,126.9,131.9,9039503.5,9039503.5,2393676.9,701546.5,701546.5,701546.6,2393677
4951907,AKAM - 130 West 30th Street,12/31/2021,1-00805-7501,1015150,130 West 30th Street,New York,10001,27,50,63.2,66.4,52.3,7062813.7,7420080.7,9.5,123.2,126.7,101.8,13763568,14150577.8,3627207.8,1063073.7,1065063.2,1063074,3627208.5
4951912,AKAM - 16 West 16th Street,12/31/2021,1-00817-0029,1078651,16 West 16th Street,New York,10011,80,50,68.1,73.4,85.7,30290764.6,32645896.3,3.8,95,99.5,119.5,42238714.8,44261470.1,5961949.7,1747347.3,1671960.8,1747347,5961948
4951926,AKAM - 5 East 22nd Street,12/31/2021,1-00851-7501,1016304,5 East 22nd Street,New York,10010,23,50,93,94.4,77.5,34437373.4,34944107.6,7.6,144.9,144.2,120.6,53640812.1,53398308.9,9989468.6,2927745.4,2798022.8,2927746,9989469.4
4951930,AKAM - 325 Fifth Avenue,12/31/2021,1-00862-7503,1087309,325 Fifth Avenue,New York,10016,16,50,79.8,82.3,62.3,25334387.1,26135817.9,10.3,151.9,153.7,118.5,48230792.6,48792857,11394824.5,3339631.6,3270296.4,3339632,11394824.4
4951933,AKAM - 10 Park Avenue,12/31/2021,1-00864-0035,1017105,10 Park Avenue,New York,10016,50,50,78.7,85.9,78.9,17882914.9,19518655,5,122.4,130.2,122.6,27801458.2,29565511.8,4028561.6,1180703.7,1143299.5,1180704,4028562
4951938,AKAM - 81 Irving Place,12/31/2021,1-00875-0019,1017914,81 Irving Place,New York,10003,94,50,59,64.1,89.9,4669403.6,5068110.7,3.3,82.5,87,125.6,6523384.7,6877770.8,926006.2,271396.9,260635.5,271396.9,926006.2
4951943,AKAM - 4 Lexington Avenue,12/31/2021,1-00877-0074,1078734,4 Lexington Avenue,New York,10010,73,50,79.2,86.3,93.1,10162696.6,11079741.1,3.7,105.8,112.5,124.4,13571059.6,14433132.8,1657273.3,485719,468833.4,485719,1657273.2
4951946,AKAM - 160 East 38th Street,12/31/2021,1-00893-0041,1019099,160 East 38th Street,New York,10016,21,50,80.6,81.7,65,26588653.6,26947205.9,8.8,144.7,146,116.7,47709271.7,48140624.8,9896712.5,2900560.2,2900560.2,2900561,9896714.1
4951949,AKAM - 155 East 38th Street,12/31/2021,1-00894-7502,1019272,155 East 38th Street,New York,10016,12,50,89.9,95,66.7,14792428.4,15619120.7,9.6,161.5,166.3,119.8,26556078.2,27351104.1,5513337.6,1615866.6,1579249.7,1615867,5513338.2
4951954,AKAM - 245 East 25th Street,12/31/2021,1-00906-0024,1019831,245 East 25th Street,New York,10010,63,50,70.6,70.6,77.7,14049982.7,14060285.9,5,102.1,102.2,112.4,20326973.9,20337792.2,3418611.5,1001937.6,1001937.6,1001938,3418612.5
4951955,AKAM - 200 East 27th Street,12/31/2021,1-00907-0056,1019864,200 East 27th Street,New York,10016,29,50,92.4,95,80.6,22830486,23475280.2,7.3,141.8,143.2,123.7,35019184.1,35369119.5,6312670.8,1850137.7,1795356.6,1850138,6312670.9
4951961,AKAM - 201 East 36th Street,12/31/2021,1-00917-7501,1020214,201 East 36th Street,New York,10016,12,50,148.6,148,105.6,16829822.3,16766656,12.9,230.3,228.7,163.6,26081111,25904245.5,5064809.7,1484410.6,1465897.6,1484411,5064810.3
4951966,AKAM - 340 East 23rd Street,12/31/2021,1-00928-7503,1020579,340 East 23rd Street,New York,10010,22,50,73.1,74.4,59.6,13976232.6,14228417.9,11.3,149.8,149.8,122.2,28646872.6,28655321.4,7576376.7,2220508.7,2169936.3,2220509,7576376.7
4951974,AKAM - 30 West 60th Street / 345 West 58th Street,12/31/2021,1-01049-0001,1082935;1082934,30 West 60th Street / 345 West 58th Street,New York,10019,58,50,84.5,89.9,89.2,45933305.6,48874898.7,5.4,121.3,126.5,128.1,65965018.5,68764286.8,10159547.2,2977592.6,2929124.3,2977593,10159547.3
4951978,AKAM - 150 West 51st Street,12/31/2021,1-01003-7501,1022710,150 West 51st Street,New York,10019,49,50,89.3,90.9,89.2,51665244.8,52615149.3,8,142.6,143.5,142.4,82510328.1,83051597.9,15994560,4687736.8,4611346,4687737,15994558.6
4951990,AKAM - 350 West 53rd Street,12/31/2021,1-01043-7503,1025247;1025248,350 West 53rd Street,New York,10019,7,50,99.5,104.3,68.8,5234461.7,5485295.6,12.6,179.4,184.4,124,9438465.5,9701841,2252731.8,660237.8,660237.8,660237.9,2252731.7
4952003,AKAM - 322 West 57th Street,12/31/2021,1-01047-7503,1025450,322 West 57th Street,New York,10019,49,50,84.5,87.5,84.1,68830554.3,71274028.6,5.5,122.9,125,122.3,100068267.5,101778396,15883534.5,4655197.1,4511918.1,4655198,15883535.6
4952005,AKAM - 347 West 57th Street,12/31/2021,1-01048-7501,1026058,347 West 57th Street,New York,10019,1,50,276.5,276.5,85.5,65664540.6,65664540.6,13.4,370.3,370.3,114.5,87938961,87938961,10852110.5,3180571.3,3180571.3,3180572,10852111.7
4952006,AKAM - 333 West 57th Street,12/31/2021,1-01048-7504,1082450,333 West 57th Street,New York,10019,84,50,53.7,57.8,71.6,10961901.6,11815427.2,4.1,81.2,84.9,108.4,16597368.9,17348784.8,2907069.8,852013.3,827765.1,852013.4,2907069.7
4952014,AKAM - 50 Central Park West,12/31/2021,1-01117-0036,1028138,50 Central Park West,New York,10023,70,50,65,70.3,74.6,8604893.9,9307055.2,4.2,94.1,98.8,108,12460558.6,13080821.5,1957382.9,573676,554080.2,573676.1,1957382.9
4952016,AKAM - 45 West 67th Street,12/31/2021,1-01120-7501,1028260,45 West 67th Street,New York,10023,32,50,78,82,67.3,18130359.9,19072170.1,9.1,138,140.2,119.2,32094928.4,32598204.4,7461743.1,2186911.6,2105581,2186912,7461743.7
4952018,AKAM - 41 West 72nd Street,12/31/2021,1-01125-7501,1028633,41 West 72nd Street,New York,10023,76,50,77.4,83.1,94,7693986.2,8259913.9,5.4,112.1,117.1,136.2,11151947.6,11645447.1,1886810.7,552992.5,540207,552992.6,1886810.8
4952021,AKAM - 135 West 70th Street,12/31/2021,1-01142-7501,1029786,135 West 70th Street,New York,10023,23,50,81.4,84.3,67.1,8166845.3,8458375.6,10,144,148,118.7,14445727.5,14849019.7,3354594.2,983175.2,999451.4,983175.3,3354594.1
4952027,AKAM - 112 West 72nd Street,12/31/2021,1-01143-7504,1076234,112 West 72nd Street,New York,10023,29,50,140.6,140.2,121.6,7291457.9,7268201.9,5.1,179,177.8,154.9,9284635.8,9219519,930631.5,272752.4,265936.5,272752.5,930631.5
